0x000003F7,amr
0x0C91F701,Bloody Pig
0x0C93AB99,~BLIP_INFO_ICON~ Each character has different skill levels. Increase individual skills by doing related activities.
0x0C950EA5,Slaughter lawyers celebrate letting killer go free.
0x0C953CD8,Acid Cropped
0x0C955BC1,hippy camp
0x0C9619D4,Purchase the Front Missile Launchers for the Declasse Weaponized Tampa at a Vehicle Workshop inside a Mobile Operations Center or Avenger.
0x0C9730EE,If you wish to wait  a cable car will arrive shortly.
0x0C97BAC7,Previous Vehicle Weapon
0x0C98704A,third
0x0C99290C,Content content content lorem ipsum dolor sit amet
0x0C9A8E47,Beverly
0x0C9D8A5E,the ~HUD_COLOUR_BLUE~Seven-70.
0x0CA0F5EE,Go to the ~y~weapon deal.~s~
0x0CA12FFF,Blue Digital Snake Skull
0x0CA37C97,CHAR_MRS_B
0x0CA3AA11,Upper class living at middle class prices! Are you a single-digit millionaire who wants to live like a double-digit millionaire? You'll never find a better deal on a luxury condo in Rockford Hills than this again. Act now  it won't last! Includes 10-car garage.
0x0CA3F400,Copy
0x0CA664C8,Request Pickup
0x0CA6BD62,Black Ear Defenders
0x0CA78C1E,Race to Point
0x0CA79CAA,HEADSHOT
0x0CAA1297,Unable to purchase a membership at this time. Please try again later or speak to Guest Services ~BLIP_CASINO_CONCIERGE~.
0x0CAC8012,You Won the War!
0x0CADB41B,BZ GAS
0x0CAEE4D5,Cargobob
0x0CB02AB2,Twin Carbon Can
0x0CB08C21,Red Mini
0x0CB15506,I need you all at the lot in El Burro Heights for a face to face. Don't be late.
0x0CB7866E,Simeon doesn't want this vehicle anymore as it's rigged with explosives.
0x0CB7A885,Strip Club
0x0CB95854,~1~rd
0x0CB9885A,Entry Disguise
0x0CBFD4B9,An online transaction was recently processed for your account. ~nrt~~n~ Your account has been credited by bank SmanCorp. Follow the link to view your latest statement.~nrt~ ~b~<u>www.fleeca.com</u>~s~
0x0CC2B43B,REVOLVER LOADOUT
0x0CC3A51F,Blonde Doll Cross
0x0CC493FA,4 new items
0x0CC774DD,Reuniting the Family
0x0CC84920,Steal a device that can trigger an electro-magnetic pulse to disable the lights inside the Casino.
0x0CC8AAE6,Mirror Pl
0x0CCB52DA,None
0x0CCD88B8,Graveyard Shift
0x0CCF0273,SMG LOADOUT
0x0CD48687,Retro Spacesuit outfit set
0x0CD62B10,Cubist Helmet
0x0CD83B06,Ammu-Nation Camo Hoodie
0x0CDA330B,~HUD_COLOUR_ORANGE~Orange~s~
0x0CDC8572,Grenade kills
0x0CDD7C7C,Contains VIP options.
0x0CDDD35E,Vault lasers
0x0CDE8113,CLUB CHALLENGE END
0x0CDED1CE,HVY Scarab Full Armor
0x0CE0D1F5,Depth of Field
0x0CE21E22,Hey  Tom Connors here. I just wanted you to know I've rarely seen Ms Baker so impressed with someone  and I've been trying for a while now. If you ever need more work  I have no doubt she could find a well-paid use for you. Give her a call sometime.
0x0CE29B0D,El Gordo Lighthouse
0x0CE7F0CD,Los Santos Golf Club
0x0CE83F30,-$~a~
0x0CEB4BD6,Planning room locked. Please wait for Lester to contact you.
0x0CEF5B2F,Pink Check Leather Straps
0x0CEF772A,The Plain Sight
0x0CF0949A,Armor Upgrade 60%
0x0CF0AE35,Your profile only has permissions for personally created content.
0x0CF14F81,You win full rifle ammo.
0x0CF15699,Limo
0x0CF3A2B5,PURCHASE FAILED
0x0CF53DFB,Carbon Vented Hood
0x0CF5665B,Sport Brakes
0x0CF6B33D,(WANTED CLEAR)
0x0CF768FE,Get in with other players to share the reward.
0x0CF87592,Vinewood
0x0CF93C3A,Light Woodland Snake Skull
0x0CFAD130,6115550192
0x0CFAF302,Source Narcotics for your Hangar.
0x0CFB58D8,Press ~INPUT_CURSOR_ACCEPT~ to click and access links.
0x0D01721F,Intercept the ~a~.
0x0D024B31,You're getting good at this Trevor!  $~1~ coming your way!
0x0D04D01E,Tequi-la-la earnings
0x0D056F73,10 percent off your next purchase at southernsanandreassuperautos.com.
0x0D062BD1,Get access to the range of outfits from the Import/Export and Cunning Stunts updates. Visit the desk of any clothing store to browse outfits.
0x0D07771D,MTL Future Shock Cerberus
0x0D07DE01,Look out for Stunt Jumps hidden around Los Santos.
0x0D084D54,Waypoint
0x0D087B1C,Metal Warrior
0x0D09E7A6,Declasse Logo Tee
0x0D0AEBEA,Silver Deco Earrings
0x0D0C02E4,<C>~a~</C> ~s~won King of the Castle with a score of ~1~
0x0D133CC9,MER
0x0D140136,You will drop the Dead Drop package if you enter the Strip Club.
0x0D182E8B,Car Scrapyard~n~Cost: $~a~~n~Weekly income: $150 per destroyed car~n~Press ~INPUT_CONTEXT~ to purchase.
0x0D1BF1A7,~a~~HUD_COLOUR_WHITE~ killed ~a~ with a headshot.
0x0D1C6834,The rival Organization is shown on the Radar at ~a~.
0x0D1CBDF4,Vanilla Unicorn Strip club stocks and clientele unpredictable.
0x0D1FA8A9,~s~The car was destroyed.
0x0D20B8A4,Vapid Slamvan Light Armor
0x0D21336A,Stabbed
0x0D22E300,Access the touch screen computer inside the Mobile Operations Center to launch a mission for Agent 14.
0x0D25FED1,The Accommodation expansion provides a place to rest  allowing players to use the Office as a spawn location when entering session.
0x0D2A5AE3,APOCALYPSE CERBERUS
0x0D2AF7AB,Home
0x0D2B3182,~a~ delivered
0x0D2C1050,The Social Club service is not available. Please try again later.
0x0D2CDE66,Vapid Imperator Shakotan Exhaust
0x0D340CB9,BODY WORK
0x0D362584,No Crash Challenge
0x0D37C500,Taxi - I Know the Way
0x0D386C69,Play some Darts
0x0D38C5B8,Creator
0x0D392F7F,Open
0x0D39B563,Are you sure you would like to assign all staff to Research?
0x0D3B109B,kph
0x0D3DBA4A,Ranch Olive Jeans
0x0D3ECA7A,Slate 3 Piece Suit
0x0D4515F4,No one's watching  now's your chance!
0x0D4534AD,Special Bonds
0x0D46B99B,You can't use the Gun Tower right now.
0x0D46E498,the Assault MG
0x0D480811,Complete all Casino Story Missions as Leader to earn $100 000 and a bonus item.
0x0D4F4C66,Press ~INPUT_FRONTEND_Y~ to exit.
0x0D4F7FAA,You have hit the drop limit for this item.
0x0D57472B,like/dislike so we know what sort of Jobs
0x0D5874B0,Bleeter could be in trouble if Wine service of 7 second stupid video messages catches on.
0x0D5B081D,Nestled among the sand dunes  enjoying year-round sunshine  the pacific gently breaking just a few strides away... If you can ignore the constant earthquake warnings and the threat of flooding  this is as close to paradise as a subterranean bunker is going to get.
0x0D5E0034,Send a text message to other players in your session.
0x0D5E5E59,POSITION
0x0D5EF053,1 Lightning Bolt! ~n~You win ~1~ Chips.
0x0D5F0FBE,Failed to publish - please try again later
0x0D5F14E6,Prosperity St
0x0D628545,Dealer Hand~n~~a~
0x0D637522,Use ~INPUT_SCRIPT_LEFT_AXIS_X~ to change pose.~n~Press ~INPUT_FRONTEND_X~ to watch DJ live stream.~n~Press ~INPUT_FRONTEND_RIGHT~ to stand up.
0x0D648DCC,Workers ~1~
0x0D651CE8,Vankhov Obsidian Studs
0x0D66B66A,Purveyor of white shiny internet-surfing devices. The world's largest religion.
0x0D67234C,You do not have enough money. It costs $10 to ride the cable car.
0x0D69131F,Gang Mexicans
0x0D69F4E8,Dunstable Lane
0x0D6A185A,The Voltic was the first highway-capable  all-electric sports car on the market in the United States. Boasts a battery life shorter than your iFruit phone so that you can still call a cab home when you grind to a halt in the middle of nowhere.
0x0D6A64F5,Alpha-Z1
0x0D6AD87A,EVENT OVER
0x0D6C9F2A,Press ~INPUT_ATTACK~ to dismiss Chop.~n~Press ~INPUT_JUMP~ to make Chop hunt for pickups.~n~Press ~INPUT_COVER~ to make Chop sit.~n~Press ~INPUT_RELOAD~ to make Chop give paw.~n~Chop won't perform tricks if he is unhappy. Use the iFruit app to increase his happiness.
0x0D6D764C,Denise
0x0D6E5C34,IMAGE ATTACHMENT ~nrt~ <img src='img://NHP_prep_autosalvage/NHP_prep_autosalvage' vspace='0' width='252' height='150'/> ~nrt~
0x0D711CCE,Nobody delivered the product
0x0D7173CC,Invite to ~a~ (Playlist ~1~ of ~1~)
0x0D733B85,Take out the ~r~dealers.
0x0D7469EC,After each round the best performing players from the winning team will start the next round as the Hold Outs.
0x0D754E1F,Black Hoodie  Jeans
0x0D75BEA5,No Videos Available
0x0D77A78B,You have been awarded ~a~ for the following vehicles:~n~~a~~n~~a~~n~~a~~n~~a~~n~Visit an appropriate mod shop or vehicle workshop to apply this livery.
0x0D79F84A,Eat Meteorite
0x0D7A9BE9,Press ~a~ to browse hats.
0x0D7E6F26,Forged documents are processed then stacked around the storage area here. In order to maintain production supplies are used.
0x0D7EE0D5,Press ~INPUT_FRONTEND_RS~ to leave the Parking Garage.
0x0D81E128,kilometers
0x0D8232FA,Exit the Nerve Center
0x0D823DDA,Your garage is full. Enter on foot to remove a vehicle.
0x0D847628,In the leg cmon Trevor you can do better than that!  Can't give you more than $~1~.
0x0D85D89B,Get back to the ~HUD_COLOUR_NET_PLAYER2~area.
0x0D8A240E,You can't purchase this Office Garage at this time.
0x0D8B2A75,@violethump All I want for my birthday this year is for the tears to stop.
0x0D8D6212,Aim preference has reverted back to Free Aim - Assisted.
0x0D8DE99E,The altimeter on the radar shows how high your are flying the Dodo. Remain below the upper horizon line to avoid detection.
0x0D8E1A7A,Your Bodyguard <C>~a~</C> ~s~won Penned In
0x0D8E7397,Set up a private party in your penthouse for your fellow casino members.
0x0D8F1A4E,MISSION PASSED
0x0D967156,~a~ wants a One on One Deathmatch
0x0D96C675,Hold ~INPUT_CELLPHONE_CAMERA_FOCUS_LOCK~ to initiate Focus Lock. This will lock the viewfinder's focus distance and allow you to recompose your shot.
0x0D97A93E,Rebel
0x0D98544B,Trevor's ~a~ has been impounded. Vehicles can be recovered at ~BLIP_GANG_VEHICLE~ for a small fee.
0x0D994E28,Loud
0x0D998AE6,Dance Style
0x0D99E347,Buzzard Rocket kills
0x0D9D09A6,The global signal will be jammed while you're inside the search area ~HUD_COLOUR_YELLOW~~BLIP_OBJECTIVE~
0x0D9D259C,Participate in Hunting Pack (Remix).
0x0D9DA961,LAP
0x0D9E0AA2,CLUB WORK START
0x0D9E0F32,Your Survival
0x0D9FB661,Participate in Relay.
0x0DA13C57,Ash Work Pants
0x0DA1AF96,Round
0x0DA22BD2,Mission unavailable. A member of your gang is currently playing a casino game.
0x0DA24E18,Go to the Crews menu to join a Crew  or create your own at ~HUD_COLOUR_SOCIAL_CLUB~www.rockstargames.com/socialclub~s~.
0x0DA3803D,Soup up your superbike and wreak havoc on the highway in this race against time through city and suburb while you steer clear of obstructions and avoid eating asphalt.
0x0DA468CC,~1~/100
0x0DA57072,Synonymous with style and luxury  the interior of Super Diamond has so much leather and wood  it's like sitting in a library. This historic British car manufacturer was taken over by the Germans in the late 90s  with no hard feelings whatsoever.
0x0DA6E658,~HUD_COLOUR_RED~EVENT END~s~
0x0DA93354,Hydra
0x0DAC76BD,A GTA Race allows vehicle weapons to be used. The winner is first to the finish line or the last alive. Players will be eliminated if their vehicle is destroyed.
0x0DAC86FB,Efforts to identify the suspect's known gangland affiliations have so far been unsuccessful.
0x0DADA441,Wheelie Rider
0x0DADBD73,Fade Out
0x0DAE30F5,Radio Off
0x0DAE6EA9,Kevin
0x0DAE8299,Add Text
0x0DAE9BB7,Orange Shirt
0x0DB04CFE,Pale Blue Retro Bubble
0x0DB27033,Type
0x0DB2A96A,Matte Ice White
0x0DB2E5C7,Snacks can be purchased from Stores located around Los Santos which replenish your health when used. They are stored in your Inventory located in the Interaction Menu  access it by holding ~INPUT_INTERACTION_MENU~. Snacks can also be collected from dead enemies for an instant health boost.
0x0DB3F9CA,Los Santos Golf Club
0x0DB43FAB,You're SO Talented
0x0DB80C95,CONTROL PANEL
0x0DB83B5C,~a~ delivered a contact to safety.
0x0DC15639,Pegasus vehicle unlocked
0x0DC1ECF9,The ~a~ does not have the capacity remaining for a medium sized shipment of Special Cargo.
0x0DC24173,You came third in Hot Property with a time of ~a~
0x0DC44ED1,Your Password must be ~1~ - ~1~ characters and consist of letters and numbers or ~a~ with at least one number and one upper case letter
0x0DC60D2B,Speeder
0x0DC6F447,In order to access the Penthouse Decorations  please purchase a Penthouse from www.thediamondcasinoandresort.com.
0x0DC8A714,Protect your VIP
0x0DC97694,White Flag Mod Helmet
0x0DCD8DA6,Gray Chukka Boots
0x0DCEDAD3,Match three symbols or one to two Lightning Bolts on the payline to receive the corresponding prize.
0x0DD03277,Machete
0x0DD12D07,Ace
0x0DD1EF21,I've got an opportunity for you. Meet me at Del Perro pier.
0x0DD37AA9,The ~a~ were not destroyed
0x0DD4F4C1,Uh oh. I'm hearing the owners haven't left the car after all. You might have to deal with them before you take it.
0x0DD5FA0E,Barf Me Out!
0x0DD82BB6,~BLIP_INFO_ICON~ Your Wanted Level is shown by the number of stars on screen. The more stars you have  the more relentless the law will be in its pursuit of you.
0x0DD8F2BD,<C>~a~</C> ~s~delivered the Moving Target vehicle
0x0DDA87CD,Do you wish to deposit $~a~ to this account?
0x0DDAC883,Surrender
0x0DDB1551,Imagine a sanctuary where 5-Star living is not a luxury; it's an erotic fantasy. A home filled to the brim with un-necessary furniture  and more wanky toss than you could ever imagine.
0x0DE14D2E,Black Carnival
0x0DE2F1DD,Mission 1 to 2
0x0DE4B10F,Sawed-Off Shotgun Tint Unlock
0x0DE4E8E8,Declasse Impaler Heavy Armor
0x0DE5B80D,Prescription Only  Green
0x0DE6A3D1,A copy of this Trophy has been delivered to your Penthouse and can be used as decoration.
0x0DE7A502,ROCKETS
0x0DE7A541,Gang Wanted Vagos 5
0x0DEA91BF,the ~HUD_COLOUR_YELLOW~Limited Gasoline Station.~s~
0x0DEC8F0C,Hold ~INPUT_ENTER~ ~s~to run past the package without picking it up.
0x0DECB647,Gustavo Mota
0x0DEDA006,Leonora's transgender roommate and the person last seen with her before her death. Also the LSPD report states that the anonymous call tipping them off to the location of the body was from "a woman with a deep voice."
0x0DEE0016,Sand Tactical
0x0DEE2223,Bolt Burger Logo Tee
0x0DF1CAB8,Your Accommodation expansion provides a place to rest your head  allowing you to use the Office as a spawn location when entering session.
0x0DF1DB93,Shaved Bangs Chestnut
0x0DF2AEE6,Blackened Party Popper
0x0DF3DCBF,Don't fly too high! Lower your altitude or the cops will be all over you!
0x0DF401D0,Friend's Office
0x0DF451C0,Protect the ~HUD_COLOUR_BLUE~SUVs.~s~
0x0DF52E89,Press ~INPUT_FRONTEND_RIGHT~ to use a magic attack.
0x0DF7231F,Super Light Armor.
0x0DF7DE53,Rental Shuttle Bus
0x0DF81C44,Orange
0x0DF9673B,cooling tunnel
0x0DF9A0E4,The fastest route from the ICU to the Hill Valley Cemetery has been a point of long-standing debate among the emergency services of Los Santos. Time to settle it once and for all.
0x0DF9ED42,Hammerstein&Faust
0x0DFC1CA7,Bravado Sasquatch Reinforced Armor
0x0DFEA04C,The Trendy
0x0DFF2213,Conch Communications
0x0E0213F2,~1~ / ~1~
0x0E030E2B,Greenwich Way
0x0E0352A7,U.R. Jersey  Fatigues
0x0E04BFFC,Unavailable during this activity.
0x0E04CB72,Here you can assign the role that each Heist member will perform and their percentage cut of the total take.
0x0E05FF44,Sky Blue Shorts
0x0E0607E9,Banning
0x0E067330,Heading of P to T is ~1~
0x0E06759A,Join Game
0x0E075287,Lobby
0x0E0B7CBD,Search the area ~HUD_COLOUR_YELLOW~~BLIP_FINDERS_KEEPERS~~s~ for the crashed Maverick to reveal the Cargo scattered amongst the wreckage.
0x0E0CF40F,GrThings are getting real in Grain of Truth parking lot.
0x0E0F7D78,In & Out
0x0E0FC42D,Hornet Chute
0x0E107A28,Return Home
0x0E11689B,BEST SCORE
0x0E11B028,Kitty Bikini
0x0E1625C9,Dusche Gold T-Shirt
0x0E164ABA,Delivery complete. This vehicle no longer contains any Cargo to sell.
0x0E16923B,~BLIP_INFO_ICON~ Need help? Review help text in the Help tab of the Brief section of the Pause Menu.
0x0E174AA4,Signs V Neck
0x0E17F7B1,Are you sure?
0x0E19B05D,~BLIP_INFO_ICON~ If you've taken a lot of damage  your health will only regenerate a bit unless you properly rest. You can fully recover at a safehouse.
0x0E1ADD96,Ammo pickups ~a~ ~s~are marked on the map.
0x0E1B6659,Wade
0x0E1BA6A4,Alert
0x0E1D4D2F,You've offered to recruit all players nearby for your MC.
0x0E1DF2A2,Search the mechanic for the Stockade's ~HUD_COLOUR_GREEN~key.~s~
0x0E1EF596,Requests
0x0E200AA0,~s~Heavy Sniper Mk II
0x0E2422B0,You can't enter this Nightclub while selling goods from a warehouse.
0x0E244FDB,Press ~INPUT_CONTEXT~ to Jump.~n~Press ~INPUT_VEH_CIN_CAM~ to toggle cinematic camera.~n~Press ~INPUT_VEH_EXIT~ to exit.
0x0E24B282,NORTH LS
0x0E26A7E5,Hold ~INPUT_SCRIPT_LT~ and use ~INPUTGROUP_LOOK~ or ~INPUTGROUP_MOVE~ to adjust your shot in Self Portrait mode.
0x0E2806B5,You are unable to launch a Challenge while on CEO/VIP/MC Work.
0x0E28411B,Duster Yellow
0x0E29ABD9,The Last One
0x0E29B466,This fixer-upper offers stunning views of the cemetery to at once remind you of your mortality and motivate you to get your act together and buy a better apartment one day.~n~Includes 2-car garage.
0x0E29F82A,~a~~HUD_COLOUR_WHITE~ sprayed ~a~.
0x0E2A8DC1,You completed all Under the Bridge and Knife Flight challenges.
0x0E2DE7E0,BRONZE LEVEL
0x0E307112,Dice Retro
0x0E31679D,VIP CHALLENGE
0x0E340263,A Business Battle
0x0E349A92,Continue next Setup in The Doomsday Heist
0x0E35BFFB,The Liberty
0x0E3778EF,Local
0x0E389179,Steal the nearby Heist Prep Equipment ~HUD_COLOUR_GREEN~~BLIP_NHP_BAG~~s~ and deliver it to your planning room to progress the current Heist.
0x0E389F53,Give Them the Yellow V
0x0E3A0590,Sign in to Social Club to play GTA Online.
0x0E3B457D,Failed to rescue the friends
0x0E3C1306,You delivered Cargo to the Hangar.
0x0E3C91C2,Light Woodland Snake Skull
0x0E408926,You have become Ghosted to ~a~ because they became a member of ~a~.
0x0E40B9A0,Maze Bank stocks empty.
0x0E41B229,Vehicle Choice
0x0E4249C8,K
0x0E465575,A cruiser  for the weekend warrior who is holding on to the dream.
0x0E468423,Gang Bikers
0x0E471470,On
0x0E473F4B,You can't access your Clubhouse while you have a mission objective.
0x0E474720,a lower rank
0x0E479238,I mean  if they catch you there's not exactly a lack of evidence. Lose 'em. Then lose 'em again to be sure.
0x0E47F590,Source Medical Supplies for your Hangar.
0x0E48A0A7,Press ~INPUT_FRONTEND_RLEFT~ to move to the next stage.
0x0E492381,Collect The Black Madonna from the ~HUD_COLOUR_YELLOW~rave.~s~
0x0E49859E,Exit Game
0x0E4B7BC9,Use the Flare Gun and Flashlights to help you navigate the ~a~ and steal the Supplies ~HUD_COLOUR_GREEN~~BLIP_SUPPLIES~
0x0E4BB91D,Keep moving or you will become visible on the Radar to other players. When visible  your Radar arrow will turn red.
0x0E4BBDE6,Stank T-Shirt
0x0E4E640A,You are already carrying a Special Cargo crate.
0x0E50D185,Round ~1~ - ~a~
0x0E512F77,U hung up? gas grill by pool wud make good firework show ;)
0x0E51529F,Press ~INPUT_CONTEXT~ to enter an offroad truck race.
0x0E51E5D9,@BillAnthony Play the color  play the smell  play the truth. I brought the truth to Othello in the Park. And that same truth is with me when I play a super villain who wears his underwear outside his pants.
0x0E528E25,You stopped the Rocket Voltic
0x0E52E732,SMG
0x0E538820,New information: there's a bomb on that car! It'll go off if it goes too slow. Do what you can to help them high tail it and we're going try to disable it remotely.
0x0E54B795,Facebook Updates
0x0E54B8E2,High Concept Tree
0x0E59C93D,GAUNTLET CLASSIC
0x0E5A5500,Purchasing this upgrade will make this vehicle your Personal Vehicle and will cause your existing Personal Vehicle (and any purchased upgrades) to be lost.
0x0E5E1648,Happy holidays from Rockstar  have these gifts on us:~n~1 x ~a~~n~1 x Firework Launcher~n~10 x Fireworks~n~1 x BOBO Top
0x0E5E6DDB,WINDOW SPOILERS
0x0E60E82C,The Interview
0x0E6215D6,Eris Yellow Down Jacket
0x0E623B10,Declasse Apocalypse Brutus
0x0E62A612,You love your crazy flying. Why not get involved in the stunt plane races out at the airstrip?
0x0E6372A8,Default
0x0E63A015,Times saved
0x0E6411A6,Unable to set up a deal with the buyer.
0x0E64C9B9,Workstations
0x0E66E5B1,Animal Materials
0x0E674E7C,~1~/~1~ AP:
0x0E68D4E3,Blue Tie
0x0E698DD3,You will be given a Bad Sport increase for leaving during a Freemode Event  are you sure?
0x0E6A0CCF,Vehicle: ~a~~n~Value: ~a~~n~Plate: ~a~ ~nrt~ <img src='img://IE_TEXTVECH_78/IE_TEXTVECH_78' vspace='0' width='252' height='150'/> ~nrt~
0x0E6B8253,Your settings indicate that you want to stay in the Spectator Booth. Do you want to join the action?
0x0E6C4BF8,Tan Desert Scarf
0x0E6C5352,Cowering
0x0E6D1CD9,Green Plaid Cheap Suit
0x0E6D3BA7,Domino Wrestler Mask
0x0E6E6B87,You don't have any Associates working for you. Hire some first.
0x0E6F26A9,~HUD_COLOUR_GREEN~
0x0E6FDE04,Your Bodyguards are not engaged in a compatible activity.
0x0E733237,What's with the texas heart shot?  You like takin em in the poop chute do you?  $~1~
0x0E78186B,Movie Premier
0x0E7A02ED,Add Last Team Standing
0x0E7A7CE7,~s~PM
0x0E7C052A,There are no available players to target.
0x0E7CB39F,Marriage Counseling
0x0E7DB378,Get moving: someone's got the shipment  and they're airborne. Drop their helis and collect the crates - they should survive the fall.
0x0E818DAF,Hunt the Beast will begin shortly. Exit the helicopter to have a chance of becoming the Beast.
0x0E82BFE0,This is the Planning Screen. Here you can view the Freemode Preps and Setups that must be completed in order to progress to the Finale.
0x0E82E450,Blue Check Shirt
0x0E83CD61,Cancel
0x0E83D062,Penetrators Blue Jersey
0x0E847395,~INPUT_CONTEXT~ Hold and release to discard gamepad calibration changes.
0x0E851F88,Swap Character
0x0E8870BF,Heavy Combat Gear
0x0E888355,Criminal Damage will begin shortly. Cause the highest value of damage to vehicles and other players. The top 3 players will win cash and RP.
0x0E88992F,Med/High
0x0E88FB05,Hey nigga – did you smoke Trevor? I heard he turned up dead. Maniac was real  so I hope not.
0x0E8AABF7,Sell Goods from your Nightclub.
0x0E8BBB58,A container? You looking to branch into the shipping business?
0x0E8EB40A,Drone Station
0x0E8F1898,~BLIP_INFO_ICON~ Check out our iFruit app. Customize your ride to perfection and have it waiting in your Garage when you get home!
0x0E90F99E,Drop an ammo package.
0x0E940265,Failed to host an active GTA Online session.
0x0E95ACBB,Animal Materials
0x0E9616AE,SUSPICION
0x0E964991,Chestnut Boat Shoes
0x0E992C3E,Preferred Role
0x0E9A1275,Slow down time
0x0E9B0E36,Blame Conservatives!
0x0E9D4C6A,Deathmatch
0x0E9E4449,You are unable to launch a Challenge as no Associates are available.
0x0EA0024C,Black Faded Jeans
0x0EA7128D,Document Forgery Office
0x0EA7CA08,Disable the fuse box using your Stun Gun or Drone shock to pass through metal detectors undetected.
0x0EA84D27,Gives you access to the following weapons:~n~- Heavy Revolver~n~- SMG~n~- Molotov~n~- Knuckle Duster
0x0EA858DF,Vices
0x0EA8D03C,Press ~INPUT_VEH_HORN~ to hover and hold the air ambulance steady allowing your passengers to snipe the enemies.
0x0EAA83EF,Workshop Level
0x0EAAD273,SOCIAL CLUB ONLINE POLICIES
0x0EAB788E,~s~Exit the test and return to the Creator.
0x0EAD051C,Next
0x0EAD8C1E,Congratulations!~n~You won a Trophy for completing all challenges in 'Race and Chase'.
0x0EAEF08C,May
0x0EB082BB,The objective of Roulette is to predict which number and/or color the ball will land on. This can be done by placing a single bet on a color  individual number  or by placing bets that cover a range of numbers  or whether the number will be an even/odd number.
0x0EB1D24A,Use the ~a~~s~ to exit outside.
0x0EB59259,105 seconds
0x0EB83BEC,~a~ ~s~delivered a Special Cargo shipment.
0x0EB8CA10,Reduced lag turbocharger.
0x0EBB8AAB,45 kills
0x0EBD82E5,EMS Upgrade  Level 2
0x0EBE0CFF,Street Race: City Circuit
0x0EBE2002,Michael is being abducted. Rapidly press ~INPUT_MOVE_LR~ alternately to escape.
0x0EC3370A,Garage Full
0x0EC39D28,Strike Team Level 1
0x0EC5A09A,Fly low and deliver the Special Cargo to the ~y~drop-off.
0x0EC6E398,Listen for the sound of gunshots to help locate the missing security van.
0x0ECACA77,Nine Tenths Of The Law
0x0ECCEAEF,Checkpoints may not be collected in passive mode.
0x0ECD7FD2,Gangster
0x0ECEBE47,Sand Cargo Shorts
0x0ECFD92B,Binco stock still has room to grow before moving out of basement.
0x0ECFE2B4,Sammy Keller and the entire staff at Southern San Andreas Super Autos are here to meet your vehicular needs.
0x0ED07C49,Collect Omega Spaceship Parts
0x0ED0809A,Are you sure you want to lose your changes?
0x0ED3632E,Ramped Up
0x0ED43C0D,Cognoscenti
0x0ED46C6A,GTA Online saved data for Character 2 has been corrupted.
0x0ED47B54,Vehicle: ~a~~n~Value: ~a~~n~Plate: ~a~ ~nrt~ <img src='img://IE_TEXTVECH_82/IE_TEXTVECH_82' vspace='0' width='252' height='150'/> ~nrt~
0x0ED4A6E9,Vehicle: ~a~~n~Value: ~a~~n~Plate: ~a~ ~nrt~ <img src='img://IE_TEXTVECH_79/IE_TEXTVECH_79' vspace='0' width='252' height='150'/> ~nrt~
0x0ED5FE05,Wanted Levels are unavoidable while on this VIP Challenge. Your cop bribe is no longer in effect.
0x0ED649EA,~a~ ~a~ (Impounded)
0x0ED6ED30,Press ~INPUT_CONTEXT~ to access the Finale Screen.
0x0ED8A8CE,Faded Light Blue Regular Fit
0x0ED8FAB1,You will need a sniper rifle and ammo.
0x0EDA215A,Orange Tint Shooters
0x0EDCC100,Press ~INPUT_CONTEXT~ to wear the hard hat.
0x0EDEC038,Cinema Doppler
0x0EDF7621,LTD found not liable for record oil spill - stocks surge.
0x0EDFE419,Every minute a point is awarded to the team or teams with the most tiles and then the tiles are reset. The team to reach the target score first wins.
0x0EDFF268,Ten Cent Theater
0x0EE0E749,Alright. You need to lose those cops before you come to the warehouse.
0x0EE299CB,Off
0x0EE33FF7,Your vehicle ~a~~s~ has been delivered.
0x0EE543B2,There's the jet. You won't be able to lock on so do what you can to damage it enough so the pilot makes a ditch attempt over water - these tools are trained to crash away from civilian areas.
0x0EE551B2,Chopped Truck Bed
0x0EE6851E,Your cup doth runeth over with product. Why don't you invest in additional storage space down there? The more we can hold the better right? Tx
0x0EE7DF6F,Continue
0x0EE7E0DD,Pulling Favors Again
0x0EE7E350,Crevis stock falls off cliff after it's sponsored rock climber does same.
0x0EE9A8E4,Get'em while they're hot. The classic stallion muscle car's been imported from Liberty City to Los Santos. You might find some baggies or baggy rubbers tucked into the back seat  but that's part of this lady's charm. She's a dime. Featuring exclusive Burger Shot Livery.
0x0EEADF9E,@jennratt73 Just saw a middle aged guy vomiting in his underwear outside in plain view of passers by. Only in Rockford Hills
0x0EEE747C,Nano Drone available again in ~a~.
0x0EF03D11,Eliminate the ~a~.
0x0EF0EA53,5 Minutes
0x0EF0EDCB,Smash & Grab
0x0EF162F9,Happy holidays from Rockstar! You have been awarded:~n~Red Bones Festive Sweater~n~Firework Launcher~n~10 x Firework rockets~n~Full Snacks~n~Full Armor
0x0EF3F9EA,Elf Skirt
0x0EF5508C,SKadam@eyefind.info
0x0EF5C6B3,You do not own an Office.
0x0EF8046B,Pencil Chin Strap
0x0EF8CECC,News Van B
0x0EF9DBAC,Machine Gun
0x0EFB5AC3,Thermal Charges
0x0EFBEC5F,COPY
0x0EFC2462,GoPostal Building
0x0EFC28F6,Corner 45D
0x0EFC2C30,Kill Multiplier
0x0EFD7B26,the Roosevelt Valor
0x0EFE0FB4,Cougar Avenue
0x0EFE68B0,Stock Fuel Tank
0x0EFF2F7A,Your current vehicle's name will be lost if you store this vehicle in another garage.
0x0EFFA370,fire truck
